tf	gene	force_LUAD	force_LUSC	delta_force	LUAD_higher
ZNF287	ENSG00000258657	5.0248924741586	2.39302642539268	2.63186604876592	TRUE
ZNF225	ENSG00000280798	0.319917531772242	-2.31035391579483	2.63027144756707	TRUE
ZNF432	ENSG00000284485	0.875225561251505	-1.75284997343327	2.62807553468477	TRUE
ZNF132	ENSG00000271133	0.565960679656358	-2.06204701690608	2.62800769656243	TRUE
ZNF384	ENSG00000197385	1.13518474956297	-1.4918993011285	2.62708405069147	TRUE
ZNF467	ENSG00000276185	-0.0419552687440568	-2.66787017343368	2.62591490468962	TRUE
ZNF467	ENSG00000258657	4.59489473384568	1.97280642526841	2.62208830857727	TRUE
ZNF880	ENSG00000258657	4.80473133446317	2.18347049120062	2.62126084326256	TRUE
ZNF304	ENSG00000266202	0.832023105732286	-1.78493558592067	2.61695869165295	TRUE
ZNF398	ENSG00000228541	4.9600553235081	2.3452655466309	2.61478977687721	TRUE
ZNF880	ENSG00000224511	5.44910128848756	2.83922387772117	2.60987741076639	TRUE
ZNF235	ENSG00000259308	5.21290031081813	2.60532798003619	2.60757233078194	TRUE
ZNF418	ENSG00000283321	0.203750748263008	-2.40096095833103	2.60471170659404	TRUE
HKR1	ENSG00000224511	5.42695610201867	2.82323167561481	2.60372442640386	TRUE
ZNF225	ENSG00000234521	1.32468661429045	-1.2782942763282	2.60298089061865	TRUE
ZNF180	ENSG00000263963	0.0720427052877497	-2.5284949475763	2.60053765286405	TRUE
HMG20B	ENSG00000213434	0.783483549092981	-1.81659334144413	2.60007689053711	TRUE
POU3F3	ENSG00000213434	0.631195757996928	-1.9671736666211	2.59836942461803	TRUE
ZNF180	ENSG00000125695	0.308080383505394	-2.28929776941554	2.59737815292093	TRUE
ZNF418	ENSG00000213412	3.76931128230296	1.17201331015263	2.59729797215033	TRUE
FOXR2	ENSG00000197385	0.998415860636162	-1.59842895873657	2.59684481937273	TRUE
ZNF281	ENSG00000125695	0.833153639598901	-1.76328176481842	2.59643540441732	TRUE
ZNF529	ENSG00000263963	0.171011424835705	-2.42485278553181	2.59586421036752	TRUE
ZNF33B	ENSG00000197385	1.37344139174874	-1.21594530953772	2.58938670128647	TRUE
ZNF304	ENSG00000278703	0.843458393232587	-1.74519189177203	2.58865028500462	TRUE
