tf	gene	motif	force
CEBPB	ENSG00000100906	1	12.9710397062685
GATA2	ENSG00000253181	1	12.9568495282645
GATA2	ENSG00000115255	1	12.9492401979698
ZBED1	ENSG00000258788	1	12.9354753547927
CEBPG	ENSG00000229393	1	12.9335665054623
CEBPB	ENSG00000153132	1	12.9222879845791
GATA2	ENSG00000274422	1	12.9200183800767
CEBPB	ENSG00000233494	1	12.8993421505791
GATA2	ENSG00000134716	1	12.8824813363628
ZBED1	ENSG00000179965	1	12.8759333090993
CEBPG	ENSG00000169972	1	12.8726786907558
GATA2	ENSG00000250325	1	12.8699325050706
CEBPB	ENSG00000126821	1	12.8504905823167
CEBPD	ENSG00000270117	1	12.8440830764026
CEBPD	ENSG00000136315	1	12.8329678057879
ZBED1	ENSG00000173436	1	12.8325404776495
CEBPG	ENSG00000136315	1	12.8103305334337
GATA2	ENSG00000205307	1	12.809360199059
